first,second,shared_cases,first_accuracy,second_accuracy,only_first_correct,only_second_correct,p_value,significant,verdict
diet,embedding_classifier,2088,0.6594827586206896,0.7557471264367817,209,410,9.081234342330503e-16,True,embedding_classifier l'emporte (p = 0.000)
diet,embedding_only,2088,0.6594827586206896,0.6810344827586207,293,338,0.07984048871762428,False,difference non etablie entre diet et embedding_only (p = 0.080)
diet,functiongemma_zero_shot,84,0.6071428571428571,0.0,51,0,2.534165198030975e-12,True,diet l'emporte (p = 0.000)
diet,hybrid_adaptive,84,0.6071428571428571,0.19047619047619047,40,5,4.0112993295804245e-07,True,diet l'emporte (p = 0.000)
diet,hybrid_functiongemma_top2,84,0.6071428571428571,0.19047619047619047,37,2,5.1992785565347054e-08,True,diet l'emporte (p = 0.000)
diet,hybrid_needle_top2,84,0.6071428571428571,0.20238095238095238,39,5,6.526880098391152e-07,True,diet l'emporte (p = 0.000)
diet,hypothetical_delta_top2,84,0.6071428571428571,0.19047619047619047,40,5,4.0112993295804245e-07,True,diet l'emporte (p = 0.000)
diet,lexical_classifier,2088,0.6594827586206896,0.5038314176245211,428,103,6.650698094147889e-45,True,diet l'emporte (p = 0.000)
diet,nearest_neighbour,2088,0.6594827586206896,0.7490421455938697,232,419,3.1015120090879137e-13,True,nearest_neighbour l'emporte (p = 0.000)
diet,needle_full,84,0.6071428571428571,0.11904761904761904,43,2,2.478790797016703e-09,True,diet l'emporte (p = 0.000)
diet,rules,2088,0.6594827586206896,0.6235632183908046,499,424,0.014861375836698847,True,diet l'emporte (p = 0.015)
embedding_classifier,embedding_only,2088,0.7557471264367817,0.6810344827586207,258,102,3.1039665993518905e-16,True,embedding_classifier l'emporte (p = 0.000)
embedding_classifier,functiongemma_zero_shot,84,0.7380952380952381,0.0,62,0,9.40832185429767e-15,True,embedding_classifier l'emporte (p = 0.000)
embedding_classifier,hybrid_adaptive,84,0.7380952380952381,0.19047619047619047,51,5,1.8169674900922536e-09,True,embedding_classifier l'emporte (p = 0.000)
embedding_classifier,hybrid_functiongemma_top2,84,0.7380952380952381,0.19047619047619047,50,4,9.141298408246597e-10,True,embedding_classifier l'emporte (p = 0.000)
embedding_classifier,hybrid_needle_top2,84,0.7380952380952381,0.20238095238095238,52,7,1.0143483201697674e-08,True,embedding_classifier l'emporte (p = 0.000)
